id,is_ai,generator,category,score
ai_art_qwen_2512_art_08.png,true,Qwen 2512,art,0.9999918937683105
ai_art_flux_2_flex_art_03.png,true,Flux,art,0.9997665286064148
ai_art_seedream_v3_art_07.png,true,Seedream,art,0.9999362230300903
ai_art_seedream_v3_art_06.png,true,Seedream,art,0.9999649524688721
ai_art_flux_2_flex_art_02.png,true,Flux,art,0.9988735318183899
ai_art_glm_image_art_01.png,true,GLM Image,art,0.6484807133674622
ai_art_qwen_2512_art_09.png,true,Qwen 2512,art,0.999446451663971
ai_art_wan_v2.6_art_09.png,true,Wan v2.6,art,0.0034042508341372013
ai_art_flux_schnell_art_08.png,true,Flux Schnell,art,0.9991248250007629
ai_art_glm_image_art_03.png,true,GLM Image,art,0.9495099186897278
ai_art_seedream_v3_art_10.png,true,Seedream,art,0.009276370517909527
ai_art_seedream_v3_art_04.png,true,Seedream,art,0.7405519485473633
ai_art_seedream_v3_art_05.png,true,Seedream,art,9.932696229952853e-06
ai_art_flux_2_flex_art_01.png,true,Flux,art,0.9999254941940308
ai_art_glm_image_art_02.png,true,GLM Image,art,0.9999932050704956
ai_art_flux_schnell_art_09.png,true,Flux Schnell,art,0.01336093619465828
ai_art_wan_v2.6_art_08.png,true,Wan v2.6,art,0.9901106953620911
ai_art_z_image_art_09.png,true,Z,art,0.4447558522224426
ai_art_glm_image_art_06.png,true,GLM Image,art,0.9999940395355225
ai_art_flux_2_flex_art_05.png,true,Flux,art,0.0005534091615118086
ai_art_seedream_v3_art_01.png,true,Seedream,art,0.1017705649137497
ai_art_flux_2_flex_art_10.png,true,Flux,art,0.9999985694885254
ai_art_flux_2_flex_art_04.png,true,Flux,art,0.9653667211532593
ai_art_glm_image_art_07.png,true,GLM Image,art,0.9999741315841675
ai_art_z_image_art_08.png,true,Z,art,0.9998830556869507
ai_art_glm_image_art_05.png,true,GLM Image,art,1.995717411773512e-06
ai_art_flux_2_flex_art_06.png,true,Flux,art,0.9999827146530151
ai_art_seedream_v3_art_02.png,true,Seedream,art,0.9999899864196777
ai_art_seedream_v3_art_03.png,true,Seedream,art,0.004070068243891001
ai_art_flux_2_flex_art_07.png,true,Flux,art,0.9998961687088013
ai_art_glm_image_art_10.png,true,GLM Image,art,0.9965007305145264
ai_art_glm_image_art_04.png,true,GLM Image,art,0.9999680519104004
ai_art_hunyuan_v3_art_07.png,true,Hunyuan v3,art,0.05862072482705116
ai_art_ideogram_v3_art_04.png,true,Ideogram v3,art,0.004728348925709724
ai_art_ideogram_v3_art_10.png,true,Ideogram v3,art,0.5947847366333008
ai_art_sd_3.5_large_art_08.png,true,Sd,art,0.9999525547027588
ai_art_seedream_v4_art_03.png,true,Seedream,art,0.00010014246799983084
ai_art_leonardo_phoenix_art_06.png,true,Leonardo Phoenix,art,0.99140465259552
ai_art_leonardo_phoenix_art_07.png,true,Leonardo Phoenix,art,0.9994066953659058
ai_art_grok_aurora_art_01.png,true,Grok Aurora,art,0.9998699426651001
